model,person,car,bus,bicycle,motorcycle,boat,train,airplane,cat,dog,cow,horse,sheep,bird,bottle,chair,couch,tv
faster_rcnn_inception_v2_coco,0.34449648300959096,0.22029958596548385,0.48418068713850576,0.15439128164985805,0.25130447072028456,0.13920256094008163,0.5324747593722527,0.48443966590839166,0.6146677182107336,0.4918745156535888,0.33586343880310404,0.384478822344969,0.3157611546209589,0.2068113296163944,0.16662771094761095,0.12529729932699504,0.2695337912089124,0.39432350398569666
faster_rcnn_resnet101_coco,0.39435234233308586,0.2745496067348423,0.5560629387345281,0.21363505805302038,0.30167936259742784,0.1901011940079322,0.6280695277361301,0.5623599490626905,0.6366644487445984,0.5606134944788677,0.37337797939364026,0.46757627111145583,0.37154497507239653,0.2582333631946326,0.21144859954864487,0.16831158325520623,0.30779637804968685,0.4503905781116259
faster_rcnn_resnet50_coco,0.3671357301189605,0.2477982170705776,0.5199854963055754,0.17822689779724557,0.27250489674546496,0.15263538850279285,0.5399978608249419,0.5144710291684358,0.5966799898808418,0.5160507113240951,0.34764153740555936,0.42212960565365565,0.32461947904143934,0.2210040788522185,0.17858501075020386,0.13513533066075162,0.26941992280119414,0.3904836295371949
mobilenet-ssd,0.2204250593583357,0.07349557914108562,0.39177632541082047,0.10984798201066301,0.20731778020904068,0.05699215493988724,0.47614011547372825,0.3804602774211317,0.47844942095186044,0.28446880864481056,0.14506236537535563,0.24884968018549983,0.15532175031588108,0.07753838268574459,0.03724090036350637,0.05955923251663255,0.21742226470997916,0.24099669455633305
ssd300,0.335864199192821,0.1940354995304553,0.4945389741304481,0.17587187136362809,0.290362446394041,0.09744181644939175,0.5339035998317953,0.4737119235673929,0.5362895223273685,0.44504436461499564,0.2973674160734545,0.3382026685596912,0.28248824600659916,0.1599423582014513,0.09872707129314144,0.12178685204529685,0.2765485030868362,0.3558793756092177
ssd512,0.3150973312700239,0.18786159541276626,0.48313144969178606,0.17350405172863181,0.2720210584634673,0.08879641340790265,0.49753489119283706,0.4216472155136582,0.5402651295537897,0.41061814743033836,0.2716874224317825,0.3270522484605883,0.2786221773920336,0.15466548848209558,0.11194544749354414,0.10745734184667236,0.23572382741428974,0.34010934061120957
ssd_mobilenet_v1_coco,0.27063941562027094,0.12117204576474884,0.4783689582331931,0.13632467053360534,0.2529766823437071,0.08693168314923946,0.6066625146373368,0.45916530687259,0.5672054920600784,0.45335481984070036,0.2680238506327988,0.3626498863806261,0.2720615898419377,0.14401061288597292,0.07009770645284476,0.09638556203561154,0.3407240524349845,0.40162043711430445
ssd_mobilenet_v1_fpn_coco,0.40349606599989835,0.32434481822755884,0.6121367344099995,0.27180460953146546,0.40217732256713623,0.20381630309452306,0.612242736298157,0.6132878882116531,0.6643704042347963,0.6058637514723088,0.42103592179595206,0.4957885898699428,0.4307876507826167,0.2656421660373107,0.20264471910562656,0.2189399788582243,0.4259139362630109,0.4988708146262556
ssd_mobilenet_v2_coco,0.2836084343860442,0.13365471631701673,0.47817207047280824,0.14365701437177988,0.2885030583782189,0.10970300525353968,0.6233903265438631,0.4773153612166309,0.6123065907635878,0.49633398441263044,0.2866216136433686,0.3798039388075354,0.2790068189976759,0.1546297511263788,0.07615374059585611,0.10420394379035305,0.38891269813055135,0.41337731767623476
ssdlite_mobilenet_v2,0.28163400657365817,0.13001929530671655,0.47774058685007076,0.13382961389205245,0.2792416394582638,0.10373252308596949,0.6139650925822123,0.5045903221542923,0.5844277099744113,0.4764042156282155,0.2710107443309997,0.36384355105626404,0.26393965009762205,0.1481409643610383,0.07526007816823994,0.09878853501303503,0.35870976255468684,0.41456648122463385
yolo-v3-tiny,0.18076002387323745,0.11623469149353206,0.25753733520810784,0.07669727945188354,0.1282959967496552,0.04147019508187048,0.21800947979012134,0.19830006310338733,0.19762916951519413,0.19191932029852815,0.1961790705105622,0.2055034196861689,0.16955405048042074,0.08334094695203043,0.06115078591419088,0.05508545595409189,0.13994063230856407,0.2631496333916227
yolo-v3,0.4227406063326901,0.3193919042226425,0.5909776824299782,0.2328878339194685,0.32000737417819525,0.18159688462483664,0.5795681244146559,0.5131433668407671,0.534841623325984,0.5459140826229698,0.3128653745953881,0.45749296345639046,0.3611972013139601,0.2741006264088428,0.2738213604102123,0.24887951038633913,0.35186314991284334,0.4919392298586561
